38	2,3	Эсӗ кӗнеке вула!	Ты читай книгу!
39	2,3	Киле кай!	Иди домой!
39	2,3	Ыран кил!	Приходи завтра!
85	4	Ку кукӑль мӗнпе?	Этот пирог с чем?
85	4	Ку кукӑль купӑстапа.
85	4	Кӗнекере кам ҫинчен ҫырса кӑтартнӑ?	О ком написано в книге?
85	4	Кӗнекере Ҫеҫпӗл Мишши (К.В. Иванов, ачасем) ҫинчен ҫырса кӑтартнӑ.
85	4	Эсӗ мӗн ҫинчен шухӑшлатӑн?	О чём ты думаешь?
85	4	Эпӗ урок ҫинчен шухӑшлатӑп.
85	4	Ку тетрадь камӑн?	Эта тетрадь чья?
85	4	Ку тетрадь Петӗрӗн.	
85	4	Ку хӳре мӗнӗн?	Этот хвост чей?
85	4	Ку хӳре мулкачӑн.	
